Sector Name,Department,Property Centre,Region,ePIMS Property Ref,Department Building Ref,Building Name,Road,Postcode,Latitude,Longitude,Building Floor Area,Floor Type Description,Building Type,Construction Date,Building Usage,Number of Floors,Refurbishment Date,Listed Building Description,DEC Certificate Reference Number,DEC Property Reference Number,DEC Operational Rating,DEC Operational Rating Value,EPC Certificate Reference,EPC Property Reference,EPC Issue Date,EPC Asset Rating,EPC Asset Rating Value,Occupied NIA,Total Office Based Staff and Contractors (FTE),Number of Workstations,Total occupancy cost,Total property cost,Total Property cost by NIA,Total property cost by Occupied NIA,Total property cost per FTE,Total Occupancy Cost per FTE,Sqm per office based FTE,Energy consumption (Kwh),Water Consumption (M3),Waste (tonnes),CO2  equivalent (tonnes),CO2  per FTE (tonnes),Non recycled waste per FTE (tonnes),,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,Yorkshire and the Humber,64336,1,CIVIL DEFENCE COLLEGE HOME OFFICE,THE HAWKHILLS,YO61 3EG,54.10084048,-1.178613685,"6,428.10",Concrete,Standard Office Building,Unknown,Specialist,,,Not BSAHI,0041-0010-7259-3498-9006,'435290470001,C,73,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,102345,1,Great Smith Street,GREAT SMITH STREET,SW1P 3BJ,51.4972138,-0.129020593,"2,925.42",Concrete,"Average, NOT Air Conditioned, Good but Older",1926  -  1949,Office,6,01-Jan-00,Not BSAHI,0260-6926-0122-8540-6040,'642266480000,D,98,,,,,,2293,105,130,"$2,537,568 ","$2,323,218.00 ",$794.15 ,"$1,013.00 ","$22,126.00 ","$24,167 ",21.8,"580,864.00",665,,260,2.47,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,109095,B01,GREAT GEORGE STREET,GREAT GEORGE STREET,SW1P 3AE,51.50097462,-0.128578407,"1,181.00",Not Known,Standard Office Building,Unknown,Office,5,,Not BSAHI,,'706495900000, ,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,East of England,230911,1,ROSEBERY COURT,ST ANDREWS BUSINESS PARK,NR7 0HS,52.62896837,1.365281543,"6,574.30",Not Known,"Top Quality, Air Conditioned",1990  -  1999,Office,3,,Not BSAHI,,,,,,,,,,4054,156,195,"$2,069,596 ","$2,069,596.00 ",$314.80 ,$511.00 ,"$13,267.00 ","$13,267 ",26,"2,035,891.00",1336,93,834,5.34,0.073,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,South East,281735,1,National School for Goverment,LARCH AVENUE,SL5 0QE,51.40207548,-0.642399397,"18,591.00",Concrete,Standard Office Building,Unknown,Office,3,,Not BSAHI,,'992406120000, ,,,,,,,1850,156,209,,"$625,110.00 ",$33.62 ,$338.00 ,"$4,007.00 ",,11.9,"237,597.00",,,128,0.82,,,
Central Civil Estate,Cabinet Office,CO - FINANCIAL AND ESTATE MANAGEMENT,London,620838,1,67 TUFTON STREET,TUFTON STREET,SW1P 3QS,51.49547136,-0.128025866,"2,087.29",Concrete,"Average, NOT Air Conditioned, Good but Older",1900  -  1925,Office,7,,Not BSAHI,9424-1066-0924-0300-5721,'444973620000,C,103,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - GOVERNMENT PROCUREMENT SERVICE ,London,402736,1,RUSI BUILDING,WHITEHALL,SW1A 2ET,51.50434816,-0.12584653,83.1,Concrete,"Average, NOT Air Conditioned, Good but Older",Pre 1900,Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - GOVERNMENT PROCUREMENT SERVICE ,London,405416,BOILER HOUSE - W'HALL DISTRICT HEATING SYSTEM,WHITEHALL DISTRICT HEATING SYS,,SW1A 2HB,51.50524407,-0.125074883,"1,670.00",Not Known,Not Known,Unknown,Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - RESIDUAL ESTATE,South East,171113,1,Trust 250 Year Lease Holding,BLETCHLEY PARK,MK3 6EB,51.99894687,-0.740326496,"17,155.90",Not Known,Poorer Quality,1926  -  1949,Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - RESIDUAL ESTATE,North West,175526,1,UNIT 8 BERKELEY COURT,WARRINGTON ROAD,WA7 1TQ,53.34979677,-2.667455921,442.8,Concrete,Specialised,1990  -  1999,Specialist,1,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - RESIDUAL ESTATE,South West,192943,1,BROTHERSWOOD COURT,BROTHERSWOOD COURT,BS32 4QW,51.54958836,-2.555409671,495.3,Not Known,"Average, NOT Air Conditioned, Good but Older",1990  -  1999,Office,2,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - RESIDUAL ESTATE,North West,199067,1,UNIT 2 KINGS COURT,MANOR FARM ROAD,WA7 1HR,53.34725885,-2.664787507,559.8,Concrete,"Average, NOT Air Conditioned, Good but Older",1990  -  1999,Office,2,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - RESIDUAL ESTATE,South East,281319,1,GOVERNMENT OFFICES,WENDOVER ROAD,HP22 5SZ,51.79752087,-0.783752159,781.7,Not Known,Specialised,1960  -  1969,Office,,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Cabinet Office,CO - RESIDUAL ESTATE,South East,497318,1,PART BUILDING 71,BLETCHLEY PARK,MK3 6EB,51.99546727,-0.741166983,270,,Poorer Quality,1950  -  1959,Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Charity Commission,CHAR - CHARITY COMMISSION,South West,178127,1,WOODFIELD HOUSE,TANGIER,TA1 4BL,51.0161163,-3.111395671,"2,889.00",,Top Quality but NOT Air Conditioned,1990  -  1999,Office,4,,,9688-1011-0323-0500-5205,'683325180000,C,68,,,,,,2217,129,132,,"$691,079.00 ",$239.21 ,$312.00 ,"$5,357.00 ",,17.2,"859,411.00",1158,56,385,2.99,0.071,,
Central Civil Estate,Charity Commission,CHAR - CHARITY COMMISSION,North West,208516,Offices third floor,PRINCES PARADE 12,PRINCES PARADE,L3   1DE,53.40447545,-2.994207227,"2,103.00",Concrete,"Top Quality, Air Conditioned",2000  -  2009,Office,,,Not BSAHI,9917-1061-0909-0900-7005,'979909610000,G,168,,,,,,2101,193,237,,"$849,825.00 ",$404.10 ,$404.00 ,"$4,403.00 ",,10.9,"972,445.00",1834,33,340,1.76,0.016,,
Central Civil Estate,Charity Commission,CHAR - CHARITY COMMISSION,Wales,468772,1,CLARENCE HOUSE,CLARENCE PLACE,NP19 7AA,51.5911763,-2.992598683,309,Concrete,Standard Office Building,Unknown,Office,11,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - BEDFORDSHIRE,East of England,234908,1,SCEPTRE HOUSE,CASTLE STREET,LU1 3AJ,51.87746571,-0.414588139,936,Concrete,"Top Quality, Air Conditioned",1990  -  1999,Office,4,,,0396-2606-9810-8590-1003,'169536860000,G,9999,,,,,,936,63,31,"$326,809 ","$326,809.00 ",$349.15 ,$349.00 ,"$5,187.00 ","$5,187 ",14.9,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - CAMBRIDGESHIRE,East of England,165938,1,THE ANDERSON CENTRE,THE ERMINE BUSINESS PARK,PE29 6XY,52.34653864,-0.19716675,"1,228.60",,Top Quality but NOT Air Conditioned,1980  -  1989,Office,3,,,9020-4099-0178-8220-7064,'467997280000,E,106,,,,,,1229,73,53,,"$310,258.00 ",$252.53 ,$253.00 ,"$4,250.00 ",,16.8,"310,607.00",952,,103,1.41,,,
Central Civil Estate,Crown Prosecution Service,CPS - CHESHIRE,North West,101200,1,BANKSIDE CHAMBERS,CROSSFIELD STREET,WA1 1UP,53.38947716,-2.602518416,625.99,Concrete,"Average, NOT Air Conditioned, Good but Older",1980  -  1989,Office,2,01-Jan-96,Not BSAHI,0890-0810-4449-7920-9096,'974498940000,E,104,,,,,,866,48,28,,"$245,054.00 ",$391.47 ,$283.00 ,"$5,105.00 ",,18,"204,789.00",385,,70,1.45,,,
Central Civil Estate,Crown Prosecution Service,CPS - CHESHIRE,North West,134668,1,WINDSOR HOUSE,PEPPER STREET,CH1 1TD,53.18839867,-2.890408822,996.01,Concrete,"Good to Average, Air Conditioned",1970  -  1979,Office,2,01-Jan-96,Not BSAHI,1111-1111-1111-1111-1111,'258825680000,D,100,,,,,,978,61,36,,"$260,466.00 ",$261.51 ,$266.00 ,"$4,270.00 ",,16,"91,494.00",,,49,0.81,,,
Central Civil Estate,Crown Prosecution Service,CPS - CLEVELAND,North East,816184,816184,1 Hudson Quay,THE HALYARD,TS3 6RT,54.57780395,-1.220802523,995,Concrete,"Good to Average, Air Conditioned",2000  -  2009,Office,1,,Not BSAHI,9189-1050-0107-0490-8721,'197174580000,G,9999,,,,,,1533,97,67,,"$501,364.00 ",$503.88 ,$327.00 ,"$5,169.00 ",,15.8,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - CUMBRIA,North West,235356,1,PROSPER HOUSE,REGENTS COURT,CA14 4EW,54.64079954,-3.543025915,231.51,Not Known,Top Quality but NOT Air Conditioned,1980  -  1989,Office,2,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - CUMBRIA,North West,339133,339133,STOCKLUND HOUSE (CPS),CASTLE STREET,CA3 8DW,54.89550215,-2.938184236,404.88,Not Known,Standard Office Building,1926  -  1949,Office,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - CUMBRIA,North West,817170,817170,EMLYN HUGHES HOUSE,ABBEY ROAD,LA14 5QY,54.11709321,-3.226262925,330.59,Not Known,"Good to Average, Air Conditioned",Unknown,Office,,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - DERBYSHIRE,East Midlands,236065,1,ST PETERS HOUSE,GOWER STREET,DE1 1SB,52.91973763,-1.477147092,"1,300.74",Not Known,"Average, NOT Air Conditioned, Good but Older",1970  -  1979,Office,,,Not BSAHI,0288-1004-0212-0500-3521,'282255080000,A,,,,,,,1690,102,63,,"$374,614.00 ",$288.00 ,$222.00 ,"$3,673.00 ",,16.6,"171,233.00",1690,,92,0.9,,,
Central Civil Estate,Crown Prosecution Service,CPS - DEVON & CORNWALL,South West,42127,1,ST ANDREWS COURT,ST ANDREW STREET,PL1 2AH,50.3686337,-4.139488851,586.68,Not Known,Top Quality but NOT Air Conditioned,1960  -  1969,Office,5,,Not BSAHI,,,,,,,,,,615,31,24,,"$145,190.00 ",$247.48 ,$236.00 ,"$4,684.00 ",,19.9,"51,974.00",,,28,0.9,,,
Central Civil Estate,Crown Prosecution Service,CPS - DEVON & CORNWALL,South West,172420,1,HAWKINS HOUSE,PYNES HILL ,EX2 5SS,50.7104232,-3.485275306,"1,286.00",Not Known,Top Quality but NOT Air Conditioned,1990  -  1999,Office,2,,Not BSAHI,0170-0010-6409-8920-6096,'780460960000,D,85,,,,,,1282,70,48,,"$326,713.00 ",$254.05 ,$255.00 ,"$4,667.00 ",,18.3,"218,735.00",284,,81,1.15,,,
Central Civil Estate,Crown Prosecution Service,CPS - DEVON & CORNWALL,South West,694178,DCB,PENHALIGON HOUSE,PRINCES STREET,TR1 1DZ,50.26279851,-5.049056145,450.39,Not Known,Not Known,Unknown,Office,,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - DORSET,South West,42866,1,OXFORD HOUSE,OXFORD ROAD,BH8 8HA,50.7242172,-1.865701768,"1,148.19",Not Known,"Good to Average, Air Conditioned",1960  -  1969,Office,7,,Not BSAHI,9200-8945-0180-5170-5034,'838455750000,G,9999,,,,,,1160,69,58,,"$344,539.00 ",$300.07 ,$297.00 ,"$4,993.00 ",,16.8,,,14,,,0.06,,
Central Civil Estate,Crown Prosecution Service,CPS - DYFED-POWYS,Wales,176510,176510/1,CAEBANC SITE,PENLAN FFOS ROAD,SA31 2EZ,51.86561304,-4.292905226,702.16,Not Known,"Average, NOT Air Conditioned, Good but Older",Unknown,Office,,,Not BSAHI,,,,,,,,,,629,40,28,,"$74,589.00 ",$106.23 ,$119.00 ,"$1,865.00 ",,15.7,"227,278.00",238,,67,1.68,,,
Central Civil Estate,Crown Prosecution Service,CPS - ESSEX,East of England,230739,1,COUNTY HOUSE,NEW LONDON ROAD,CM2 0RG,51.73064217,0.470374307,"3,445.20",Not Known,"Top Quality, Air Conditioned",1990  -  1999,Office,4,,Not BSAHI,9322-1020-0602-0990-1221,'322629220000,F,144,,,,,,2468,186,133,,"$1,259,690.00 ",$365.64 ,$510.00 ,"$6,773.00 ",,13.3,"824,414.00",943,,443,2.38,,,
Central Civil Estate,Crown Prosecution Service,CPS - GLOUCESTERSHIRE,South West,235576,1,2 KIMBROSE WAY,KIMBROSE WAY,GL1 2DB,51.86300075,-2.249263799,874.4,Concrete,"Average, NOT Air Conditioned, Good but Older",1990  -  1999,Office,3,,Not BSAHI,0840-0010-2749-2620-8096,'424780620000,B,37,,,,,,866,55,39,,"$272,698.00 ",$311.87 ,$315.00 ,"$4,958.00 ",,15.7,"48,857.00",,,26,0.48,,,
Central Civil Estate,Crown Prosecution Service,CPS - GREATER MANCHESTER,North West,33688,1,SUNLIGHT HOUSE,QUAY STREET,M60 3PS,53.478814,-2.250490667,"3,743.65",Concrete,Top Quality but NOT Air Conditioned,1926  -  1949,Office,14,01-Apr-96,Not BSAHI,1111-1111-1111-1111-1111,'856775240000,D,100,,,,,,3665,294,226,,"$1,437,569.00 ",$384.00 ,$392.00 ,"$4,890.00 ",,12.5,"328,004.00",,,176,0.6,,,
Central Civil Estate,Crown Prosecution Service,CPS - GREATER MANCHESTER,North West,154624,1,CROMWELL COURT,CROMWELL STREET,OL1 1ET,53.53899273,-2.114290763,611,Not Known,Top Quality but NOT Air Conditioned,1980  -  1989,Office,2,,Not BSAHI,,,,,,,,,,536,62,46,,"$135,226.00 ",$221.32 ,$252.00 ,"$2,181.00 ",,8.6,"135,147.00",267,21,48,0.77,0.062,,
Central Civil Estate,Crown Prosecution Service,CPS - GREATER MANCHESTER,North West,199328,199328,Kingscroft Court,WARRINGTON ROAD,WN1 3AP,53.54185174,-2.623588969,542.6,Concrete,"Average, NOT Air Conditioned, Good but Older",1980  -  1989,Office,2,01-May-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - GREATER MANCHESTER,North West,482619,482619,ASHTON POLICE STATION,MANCHESTER ROAD,OL7 0BQ,53.48416083,-2.10754255,227,Concrete,"Top Quality, Air Conditioned",2000  -  2009,Office,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - GREATER MANCHESTER,North West,816127,816127,Bolton Police Station Scholey Street,SCHOLEY STREET,BL2 1HX,53.57024249,-2.418129621,568.38,Concrete,"Good to Average, Air Conditioned",2000  -  2009,Office,1,,,,,,,,,,,,568,40,39,,"$234,772.00 ",$413.05 ,$413.00 ,"$5,869.00 ",,14.2,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - GREATER MANCHESTER,North West,816128,1,WIGAN POLICE STATION,ROBIN PARK ROAD,WN5 0UP,53.5425638,-2.651863963,325,Not Known,Not Known,Unknown,Other,,,Not BSAHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - GWENT,Wales,815809,815809,Vantage Point House,TY COCH WAY,NP44 7HF,51.63830411,-3.022644053,"1,291.60",Concrete,"Good to Average, Air Conditioned",1980  -  1989,Office,1,30-Nov-07,Not BSAHI,,'314693530000, ,,,,,,,1248,74,68,,"$304,313.00 ",$235.61 ,$244.00 ,"$4,112.00 ",,16.9,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - HAMPSHIRE & ISLE OF WIGHT,South East,58247,058247/1,BLACK HORSE HOUSE,LEIGH ROAD,SO50 9FH,50.96941054,-1.351435168,976.6,Not Known,"Average, NOT Air Conditioned, Good but Older",Unknown,Office,,,Not BSAHI,0870-0310-5739-8620-1096,'783713650000,G,9999,,,,,,1003,62,39,,"$286,949.00 ",$293.82 ,$286.00 ,"$4,628.00 ",,16.2,"93,043.00",,,50,0.81,,,
Central Civil Estate,Crown Prosecution Service,CPS - HAMPSHIRE & ISLE OF WIGHT,South East,165622,1,CROWN HOUSE,WINSTON CHURCHILL AVENUE,PO1 2PT,50.79595259,-1.090038043,964,Not Known,"Average, NOT Air Conditioned, Good but Older",1960  -  1969,Office,,,Not BSAHI,9200-2963-0110-8800-3084,'281633080000,G,158,,,,,,970,43,53,,"$78,847.00 ",$81.79 ,$81.00 ,"$1,834.00 ",,22.6,"196,974.00",373,,106,2.46,,,
Central Civil Estate,Crown Prosecution Service,CPS - HEADQUARTERS,Yorkshire and the Humber,194457,1,UNITED HOUSE,PICCADILLY,YO1 9PQ,53.95602354,-1.07653673,"3,501.50",Not Known,Top Quality but NOT Air Conditioned,1980  -  1989,Office,7,,Not BSAHI,,'320164960000, ,,,,,,,3502,207,128,,"$930,912.00 ",$265.86 ,$266.00 ,"$4,497.00 ",,16.9,"114,789.00",4710,,62,0.3,,,
Central Civil Estate,Crown Prosecution Service,CPS - HERTFORDSHIRE,East of England,32670,1,QUEENS HOUSE,VICTORIA STREET,AL1 3HZ,51.75122837,-0.335130686,"1,235.60",Not Known,Top Quality but NOT Air Conditioned,1980  -  1989,Office,,,,0709-0803-1310-6890-3803,'391878330000,E,125,,,,,,1236,94,78,,"$398,789.00 ",$322.75 ,$323.00 ,"$4,242.00 ",,13.1,"520,377.00",862,,167,1.78,,,
Central Civil Estate,Crown Prosecution Service,CPS - HUMBERSIDE,Yorkshire and the Humber,702174,1,CITADEL HOUSE,HIGH STREET,HU1 1QD,53.742029,-0.331418598,"1,462.69",Concrete,"Average, NOT Air Conditioned, Good but Older",2000  -  2009,Office,2,,Not BSAHI,1111-1111-1111-1111-1111,'158082770000,D,100,,,,,,1463,75,50,,"$372,205.00 ",$254.47 ,$254.00 ,"$4,963.00 ",,19.5,"203,277.00",558,,84,1.12,,,
Central Civil Estate,Crown Prosecution Service,CPS - KENT,South East,199012,1,PRIORY GATE,UNION STREET,ME14 1PT,51.27625609,0.523804337,"1,547.00",,"Average, NOT Air Conditioned, Good but Older",1980  -  1989,Office,,,,9200-6968-0170-4870-8020,'627688740000,D,91,,,,,,1547,101,87,,"$606,152.00 ",$391.82 ,$392.00 ,"$6,002.00 ",,15.3,"368,191.00",619,,114,1.13,,,
Central Civil Estate,Crown Prosecution Service,CPS - KENT,South East,264837,1,RIDING GATE HOUSE,OLD DOVER ROAD,CT1 3JG,51.27465548,1.083451307,"1,271.00",Not Known,Top Quality but NOT Air Conditioned,1960  -  1969,Office,,,Not BSAHI,9200-5927-0140-1180-6054,'554276810000,D,80,,,,,,1272,59,42,,"$244,429.00 ",$192.31 ,$192.00 ,"$4,143.00 ",,21.6,"211,885.00",,,77,1.3,,,
Central Civil Estate,Crown Prosecution Service,CPS - LANCASHIRE,North West,100820,100820,Burnley Wharf,MANCHESTER ROAD,BB11 1JG,53.78695605,-2.246845192,"1,136.08",Other,"Average, NOT Air Conditioned, Good but Older",1980  -  1989,Office,5,01-Apr-98,Not BSAHI,0890-0110-2399-7820-8096,'979381820000,E,125,,,,,,1117,86,77,,"$249,130.00 ",$219.29 ,$223.00 ,"$2,897.00 ",,13,"385,577.00",,,133,1.55,,,
Central Civil Estate,Crown Prosecution Service,CPS - LANCASHIRE,North West,189170,CPS1,UNICENTRE (CPS),LORDS WALK,PR1 1DH,53.76052292,-2.694932165,"1,538.22",Concrete,"Average, NOT Air Conditioned, Good but Older",1970  -  1979,Office,3,,Not BSAHI,1111-1111-1111-1111-1111,'425438750000,D,100,,,,,,1534,101,117,,"$435,034.00 ",$282.82 ,$284.00 ,"$4,307.00 ",,15.2,"89,491.00",,,48,0.48,,,
Central Civil Estate,Crown Prosecution Service,CPS - LANCASHIRE,North West,556762,556762,ROSEMARY HOUSE,NORTH ROAD,LA1 1LU,54.04998091,-2.799142285,551.49,Concrete,Top Quality but NOT Air Conditioned,Unknown,Office,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - LEICESTERSHIRE,East Midlands,189871,1,PRINCES COURT,YORK ROAD,LE1 5TU,52.63079667,-1.135187302,"2,117.00",Not Known,"Top Quality, Air Conditioned",1990  -  1999,Office,4,,Not BSAHI,0190-0210-1839-1420-1092,'913812410000,F,128,,,,,,2127,109,78,,"$541,311.00 ",$255.70 ,$254.00 ,"$4,966.00 ",,19.5,"375,769.00",1077,,202,1.85,,,
Central Civil Estate,Crown Prosecution Service,CPS - LINCOLNSHIRE,East Midlands,817976,817976,THE REGATTA,HENLEY WAY,LN6 3QR,53.20427361,-0.601750981,907.07,Not Known,Standard Office Building,Unknown,Office,,,Not BSAHI,9283-1050-0904-0990-8221,'234929580000,G,9999,,,,,,907,64,54,,"$199,805.00 ",$220.28 ,$220.00 ,"$3,122.00 ",,14.2,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - LONDON,London,87247,1, Artillery Row 4-16,ARTILLERY ROW,SW1P 1RZ,51.49673789,-0.13584011,"1,472.60",Not Known,"Top Quality, Air Conditioned",1980  -  1989,Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Civil Estate,Crown Prosecution Service,CPS - LONDON,London,101671,1,OFFICE BUILDING,SOUTHWARK BRIDGE,SE1 9HS,51.50743718,-0.095429415,"14,608.30",Not Known,Standard Office Building,Unknown,Office,,,Not BSAHI,0999-2300-9510-8890-1003,'199893500000,G,195,,,,,,8386,810,622,,"$7,804,508.00 ",$534.25 ,$931.00 ,"$9,635.00 ",,10.4,"6,558,958.00",3400,,2616,3.23,,,
